Frequency (Hz),aPSD ((m/s^2)^2/Hz)
0,0.00230445742830901
0.25,0.00238777529973208
0.5,0.00248558407522893
0.75,0.00264357398254225
1,0.00298600162016749
1.25,0.00376712028451382
1.5,0.00540414194208039
1.75,0.00842953600543374
2,0.0132960928519814
2.25,0.0200386069640147
2.5,0.0279415910579425
2.75,0.0354807537417751
3,0.0407383486081893
3.25,0.0421948615796948
3.5,0.0394700363233052
3.75,0.0335365543884782
4,0.0262618446022508
4.25,0.0195868226629289
4.5,0.0148428192564705
4.75,0.0125170819918945
5,0.012426266819654
5.25,0.0140462166461867
5.5,0.0167733535666625
5.75,0.0200428869892516
6,0.0233486528645388
6.25,0.0262392281536713
6.5,0.0283342949970318
6.75,0.0293642591990759
7,0.0292125314172427
7.25,0.0279368292017656
7.5,0.0257558490042966
7.75,0.023002107833361
8,0.0200539944303282
8.25,0.0172659657632221
8.5,0.0149142441325884
8.75,0.0131681437321721
9,0.0120879648307711
9.25,0.0116429586142183
9.5,0.0117393878231152
9.75,0.0122493118175379
10,0.0130339582304071
10.25,0.0139594346423418
10.5,0.014905543475969
10.75,0.0157699343125034
11,0.0164699049539127
11.25,0.0169434193810241
11.5,0.0171499610887161
11.75,0.0170711028033042
12,0.0167103155488365
12.25,0.0160915367477127
12.5,0.0152562471921172
12.75,0.0142591305983799
13,0.0131626929845494
13.25,0.0120314291804995
13.5,0.0109262072881347
13.75,0.009899498347568
14,0.00899193092542542
14.25,0.00823043648815973
14.5,0.00762801478744984
14.75,0.00718493051763745
15,0.00689098613609549
15.25,0.00672842118695723
15.5,0.00667497172059916
15.75,0.00670667722857364
16,0.0068001294963748
16.25,0.00693399448435889
16.5,0.00708977981439123
16.75,0.0072519441884329
17,0.00740753416394521
17.25,0.00754557860111018
17.5,0.00765647013588002
17.75,0.00773152186691618
18,0.00776281743455793
18.25,0.00774338866702867
18.5,0.00766767277523207
18.75,0.00753213494562271
19,0.00733590268993179
19.25,0.0070812509032024
19.5,0.00677380095600455
19.75,0.00642234757844402
20,0.00603829381530976
20.25,0.00563474456698444
20.5,0.00522537057102905
20.75,0.00482319643769763
21,0.00443948153412141
21.25,0.00408284890956004
21.5,0.00375877789832023
21.75,0.00346951777435704
22,0.00321441316045331
22.25,0.00299056830950109
22.5,0.00279372755215536
22.75,0.0026192211825107
23,0.00246282391654878
23.25,0.00232139634237346
23.5,0.00219322368027534
23.75,0.0020780224903006
24,0.00197664463797457
24.25,0.00189055871123437
24.5,0.00182122371104801
24.75,0.0017694828487255
25,0.00173509524033419
25.25,0.00171649281674114
25.5,0.00171080496427564
25.75,0.00171414267482323
26,0.00172208647648763
26.25,0.00173028643373869
26.5,0.00173506405515755
26.75,0.00173390775906376
27,0.00172577469898247
27.25,0.00171114793491037
27.5,0.00169184231890681
27.75,0.0016705969601059
28,0.00165052886817877
28.25,0.00163454505736939
28.5,0.00162481538785802
28.75,0.00162239530659911
29,0.00162705920687247
29.25,0.00163736675959265
29.5,0.00165094328608961
29.75,0.00166491837270906
30,0.00167644083011443
30.25,0.00168317706797865
30.5,0.00168370551909255
30.75,0.00167774047914462
31,0.00166615057715376
31.25,0.00165077416213659
31.5,0.00163406953299189
31.75,0.00161866593229594
32,0.00160689686533403
32.25,0.00160039818613046
32.5,0.00159983976359838
32.75,0.00160483419571989
33,0.00161403375171618
33.25,0.00162539335385873
33.5,0.00163654885329651
33.75,0.00164524099280684
34,0.00164970933144047
34.25,0.00164898775728285
34.5,0.00164305237475468
34.75,0.0016327998328993
35,0.00161986454655872
35.25,0.00160631133069475
35.5,0.00159426085240505
35.75,0.00158551553372289
36,0.00158125160626773
36.25,0.00158182959875202
36.5,0.00158675330232334
36.75,0.00159478035419829
37,0.00160416086093673
37.25,0.00161295863737639
37.5,0.00161939636950128
37.75,0.00162216341496052
38,0.00162063319694645
38.25,0.00161495448103135
38.5,0.00160600395642432
38.75,0.00159521225079282
39,0.00158429740800646
39.25,0.00157495518085231
39.5,0.00156856172457301
39.75,0.00156594057596251
40,0.00156723308902701
40.25,0.00157189225206122
40.5,0.00157879759211797
40.75,0.00158646766563956
41,0.00159333013598835
41.25,0.00159800041877411
41.5,0.00159951971377182
41.75,0.00159751172366757
42,0.00159223275822902
42.25,0.00158450934342078
42.5,0.00157557737682122
42.75,0.00156685378027639
43,0.00155968261025857
43.25,0.00155510092359478
43.5,0.00155366498507453
43.75,0.00155536569198065
44,0.0015596456278106
44.25,0.00156551196536191
44.5,0.00157172276092145
44.75,0.00157701190476687
45,0.0015803121544485
45.25,0.00158093712562959
45.5,0.00157869139658118
45.75,0.00157389135487567
46,0.00156729556963407
46.25,0.00155995939863728
46.5,0.00155304144544871
46.75,0.00154759718312975
47,0.00154439634791256
47.25,0.00154379552802695
47.5,0.00154568681645834
47.75,0.00154952946341085
48,0.00155445669461875
48.25,0.00155943687272652
48.5,0.00156345920357477
48.75,0.00156571069403925
49,0.00156571351690016
49.25,0.00156339973807052
49.5,0.00155911199568106
49.75,0.00155353204031722
50,0.001547551665215
